Term	UserId	TFIDF-Score
www.mysite.com	4883	0.010804322
usd	4883	0.009603842
box?	4883	0.006002401
onclick	4883	0.006002401
<p>i'd	4883	0.004801921
fileoutputstream	4883	0.004801921
regexps	4883	0.004801921
xaml	4883	0.004801921
other?	4883	0.003601441
targetvalue	4883	0.003601441
wav)	6068	0.009186352
aspnet_users.userid.	6068	0.00656168
"bool(""""false"""")"	6068	0.005905512
sprites	6068	0.005249344
<b>runtime</b>	6068	0.004593176
data[c];	6068	0.004593176
err)	6068	0.004593176
'str'	6068	0.003937008
"cssclass=""""""""/&gt;"	6068	0.003937008
dashes	6068	0.003937008
<h2>short	9951	"	0.000819000819001"
wanna	9951	0.005733006
<code>get_absolute_url</code>	9951	0.004095004
currency?</p>	9951	0.004095004
$colors_array=array('red'	9951	0.003276003
do?</p></li>	9951	0.003276003
mercurial	9951	0.003276003
<code>abc</code>	9951	0.002457002
<code>xtype</code>	9951	0.002457002
<li>under	9951	0.002457002
figure	39677	0.003643754
like:	39677	0.002841341
this:	39677	0.00261324
`&lt;top	39677	0.00232288
sessions	39677	0.00232288
tests?	39677	0.00232288
iconfigmappathfactory	39677	0.00203252
splitted	39677	0.00203252
ways	39677	0.00203252
(2010-08-16)	39677	0.00174216
claiming	49153	0.005540166
pg_config	49153	0.003878116
lines?</p>	49153	0.003047091
etag:	49153	0.002770083
better?	49153	0.002493075
values?	49153	0.001939058
.txt	49153	0.00166205
<p>btw	49153	0.00166205
clicking	49153	0.00166205
interests{{/i}}\u003c/a\u003e\n	49153	0.00166205
</code>	51816	0.025665399
lion	51816	0.009030418
putting	51816	0.005703422
o.e.j.w.webappcontext{/	51816	0.005228137
flag.	51816	0.003802281
independently	51816	0.003802281
non-static	51816	0.003802281
python?</a>	51816	0.003326996
<code>keys</code>):	51816	0.002851711
accept-ranges:	51816	0.002851711
<p>however	63051	0.01069852
finally:	63051	0.005102041
basemodel	63051	0.004251701
<em>stderr</em>	63051	0.003401361
"we?""""</p>"	63051	0.003401361
red	63051	0.002971811
throws	63051	0.002971811
00:00	63051	0.00255102
<code>cte</code>	63051	0.00255102
<pre><code>classname.staticmethod	63051	0.00255102
bytes?</p>	87234	0.025210084
00:00	87234	0.022408964
&gt;which	87234	0.016806723
co.id	87234	0.014005602
suited	87234	0.014005602
/&gt;	87234	0.013181817
*viper.viper)	87234	0.011204482
arraysize);</code>	87234	0.011204482
(time	87234	0.008403361
</pre>	87234	0.008403361
processes	89904	0.008130081
timeout	89904	0.005682683
bugfix	89904	0.005420054
colors?</p>	89904	0.005420054
finishes	89904	0.005420054
jar:file:/www/site/app.war!/	89904	0.005420054
programmers)	89904	0.005420054
six	89904	0.005420054
</ol>	89904	0.003788455
"history"""""	89904	0.002710027
natural	95592	0.016069221
suddenly	95592	0.009888752
"psuedo-device"""""	95592	0.008652658
second	95592	0.008652658
personnames	95592	0.007416564
"postgres"""""	95592	0.007416564
<code>&lt;input	95592	0.00618047
master</code>	95592	0.00618047
reinstallation	95592	0.00618047
<code>&lt;head&gt;</code>	95592	0.005183956
